lat,lon,ccf,gdp_weight,cloud_norm,gdp_norm,combined_score
20.555,24.590997016757548,0.0320833333333333,0.00045672509039307703,1.0,0.0016864535153486553,1.0
21.445,40.59897023963283,0.04025,0.011678348250272282,0.9856199560047777,0.04312220167976137,0.9856199560047777
-24.555,-69.39208768331392,0.0455,0.003110953817434536,0.9763756420078491,0.011487170536185014,0.9763756420078491
22.0,54.59897023963283,0.0544166666666666,0.011678348250272282,0.9606749817273516,0.04312220167976137,0.9606749817273516
10.0,48.0,0.07575,7.426754773985656e-06,0.9231107851684035,2.7423228895616567e-05,0.9231107851684035
22.555,14.598970239632825,0.11025,0.00018722334374765134,0.86236243604573,0.0006913206058962385,0.86236243604573
28.555,5.371020952947672,0.1211666666666666,0.0025368832846439683,0.843140132337831,0.009367419971902454,0.843140132337831
-24.555,16.0,0.1223333333333333,0.00012596099523369997,0.8410858403385135,0.0004651099045727147,0.8410858403385135
28.555,64.0,0.1361666666666666,0.0035000064478738287,0.8167278066323208,0.01292374406818717,0.8167278066323208
14.555,32.0,0.1408333333333333,0.0004678898848689397,0.8085106386350509,0.0017276794240802273,0.8085106386350509
30.0,-4.641269335895588,0.1470833333333333,0.0025368832846439683,0.7975055029244217,0.009367419971902454,0.7975055029244217
-24.0,114.60791231668608,0.1527499999999999,0.016550286373595825,0.7875275132134513,0.06111179180183858,0.7875275132134513
27.445,32.628979047052326,0.1529166666666666,0.003664752796720104,0.7872340429278344,0.013532068561403732,0.7872340429278344
32.0,54.65486325371234,0.16725,0.0044766406762564255,0.7619955983647912,0.01652995765774086,0.7619955983647912
18.0,4.583935366656176,0.1850833333333333,0.00018722334374765134,0.7305942778037958,0.0006913206058962385,0.7305942778037958
24.0,-13.392087683313923,0.1873333333333333,7.426754773985656e-06,0.7266324289479693,2.7423228895616567e-05,0.7266324289479693
31.445,41.34513674628766,0.1890833333333333,0.011678348250272282,0.7235509909489931,0.04312220167976137,0.7235509909489931
-24.555,137.39208768331392,0.1895833333333333,0.016550286373595825,0.7226705800921427,0.06111179180183858,0.7226705800921427
30.555,22.641269335895586,0.1936666666666666,0.00045672509039307703,0.7154805580945317,0.0016864535153486553,0.7154805580945317
-22.555,127.40102976036718,0.2069999999999999,0.016550286373595825,0.6920029352451893,0.06111179180183858,0.6920029352451893
-14.555,-74.57235698407641,0.2093333333333333,0.002724328541746347,0.6878943512465543,0.01005955999097536,0.6878943512465543
26.0,-107.38211035348948,0.22875,0.01748605006882041,0.6537050629721993,0.06456709129499529,0.6537050629721993
32.0,-116.0,0.2341666666666666,0.01748605006882041,0.6441672786896541,0.06456709129499529,0.6441672786896541
19.445,-98.0,0.2466666666666667,0.01748605006882041,0.6221570072683954,0.06456709129499529,0.6221570072683954
30.555,84.64126933589559,0.252,0.17655739681395888,0.6127659581286585,0.6519366874752756,0.6127659581286585
2.555,36.0,0.2555833333333334,0.0011335393828015938,0.6064563469878976,0.0041855845389764685,0.6064563469878976
-21.445,44.0,0.2591666666666666,0.00016409254654769665,0.6001467358471371,0.0006059103337846109,0.6001467358471371
12.555,18.56776250857941,0.27825,0.00018385767139995657,0.5665443881440156,0.0006788928893514861,0.5665443881440156
16.555,-7.422263949661018,0.28275,0.00010274841947768985,0.5586206904323625,0.0003793976658377489,0.5586206904323625
-18.555,24.583935366656174,0.2889166666666667,0.00018275788512277184,0.5477622898645416,0.0006748319378681898,0.5477622898645416
78.555,-36.6711125928957,0.29,7.426754773985656e-06,0.5458547330080327,2.7423228895616567e-05,0.5458547330080327
-32.555,144.0,0.3221666666666666,0.016550286373595825,0.4892149678839942,0.06111179180183858,0.4892149678839942
-31.445,24.654863253712342,0.32225,0.003778588369302338,0.4890682327411857,0.013952405445869202,0.4890682327411857
78.0,-25.328887407104297,0.3225833333333333,7.426754773985656e-06,0.4884812921699522,2.7423228895616567e-05,0.4884812921699522
35.445,-105.31354280637501,0.3267499999999999,0.27081985038419554,0.4811445350295328,0.9999999963075084,0.4811445350295328
-35.445,-70.0,0.33375,0.006013088271552789,0.4688187830336279,0.022203277347724367,0.4688187830336279
-13.445,-43.42764301592359,0.3348333333333333,0.020589363680353433,0.4669112261771188,0.07602605043581004,0.4669112261771188
37.445,32.704756290458846,0.34975,7.426754773985656e-06,0.44064563561441694,2.7423228895616567e-05,0.44064563561441694
35.445,71.31354280637501,0.3526666666666667,7.426754773985656e-06,0.43550990561612324,2.7423228895616567e-05,0.43550990561612324
39.445,-122.72496516428264,0.3549166666666666,0.27081985038419554,0.43154805676029684,0.9999999963075084,0.43154805676029684
44.0,95.22796495440387,0.3583333333333333,0.17655739681395888,0.4255319159051528,0.6519366874752756,0.4255319159051528
-6.555,32.55841458910053,0.3596666666666666,0.0007426754773985655,0.42318415362021866,0.0027423228895616563,0.42318415362021866
-14.555,14.0,0.3685,0.0009513600663311922,0.40763022848252917,0.0035128889609408872,0.40763022848252917
22.0,-84.0,0.3705833333333333,7.426754773985656e-06,0.4039618499123194,2.7423228895616567e-05,0.4039618499123194
41.445,-112.74730458520894,0.3735833333333333,0.27081985038419554,0.39867938477121745,0.9999999963075084,0.39867938477121745
42.0,109.25269541479106,0.3938333333333333,0.17655739681395888,0.36302274506877863,0.6519366874752756,0.36302274506877863
14.0,-90.0,0.3940833333333334,0.0010662843174126632,0.36258253964035336,0.003937245781513966,0.36258253964035336
78.555,-51.3288874071043,0.3956666666666666,7.426754773985656e-06,0.35979457192699416,2.7423228895616567e-05,0.35979457192699416
24.555,74.0,0.3989166666666666,0.03682925310042371,0.3540719013574669,0.13599170412428999,0.3540719013574669
-31.445,121.34513674628765,0.3996666666666665,0.016550286373595825,0.35275128507219156,0.06111179180183858,0.35275128507219156
41.445,63.252695414791056,0.40775,0.0010829164579581896,0.3385179762197774,0.003998659819150119,0.3385179762197774
37.445,15.29524370954115,0.41625,0.0,0.3235509916533217,0.0,0.3235509916533217
35.445,100.68645719362499,0.4198333333333333,0.17655739681395888,0.317241380512561,0.6519366874752756,0.317241380512561
46.0,74.79946569302346,0.4214166666666667,0.0027456006684231167,0.31445341279920136,0.0101381071379738,0.31445341279920136
-34.555,-57.330120185214305,0.42775,0.0,0.30330154194576375,0.0,0.30330154194576375
-22.555,147.40102976036718,0.4298333333333333,0.016550286373595825,0.2996331633755541,0.06111179180183858,0.2996331633755541
10.0,-64.0,0.43825,0.0011284849254239715,0.2848129139519068,0.004166920998058813,0.2848129139519068
78.555,-61.3288874071043,0.4398333333333333,7.426754773985656e-06,0.28202494623854735,2.7423228895616567e-05,0.28202494623854735
-6.0,-36.55841458910053,0.4435833333333334,0.020589363680353433,0.27542186481216957,0.07602605043581004,0.27542186481216957
40.0,0.0,0.4454166666666665,0.0162549772843329,0.27219369167038543,0.06002136549906365,0.27219369167038543
29.445,-92.0,0.4494166666666667,0.0,0.2651504048155824,0.0,0.2651504048155824
42.555,121.25269541479106,0.4515,0.17655739681395888,0.26148202624537265,0.6519366874752756,0.26148202624537265
21.445,94.0,0.4546666666666667,0.000697687382813736,0.2559060908186538,0.00257620473258428,0.2559060908186538
-14.555,141.4276430159236,0.4555833333333333,0.0,0.25429200424776166,0.0,0.25429200424776166
-18.0,177.41606463334384,0.4639166666666667,5.6216807485413467e-05,0.23961848996692248,0.00020758008394909766,0.23961848996692248
-22.0,-49.40102976036717,0.465,0.020589363680353433,0.23771093311041347,0.07602605043581004,0.23771093311041347
41.445,84.74730458520894,0.4708333333333334,0.17655739681395888,0.22743947311382606,0.6519366874752756,0.22743947311382606
-15.445,36.577736050338984,0.47875,0.00021424991576507089,0.21349963454702903,0.0007911159934178075,0.21349963454702903
33.445,-83.3301201852143,0.4957500000000001,0.27081985038419554,0.18356566541411734,0.9999999963075084,0.18356566541411734
-17.445,-58.0,0.4989999999999999,0.0005169550821933131,0.17784299484459054,0.0019088522482790249,0.17784299484459054
-44.555,-65.22796495440387,0.5105833333333334,0.0,0.157446809994224,0.0,0.157446809994224
43.445,51.22796495440388,0.5174166666666667,0.0027456006684231167,0.14541452828393597,0.0101381071379738,0.14541452828393597
15.445,78.0,0.51975,0.03682925310042371,0.14130594428530108,0.13599170412428999,0.14130594428530108
68.555,-35.48250336570281,0.53025,7.426754773985656e-06,0.12281731629144399,2.7423228895616567e-05,0.12281731629144399
-22.0,165.40102976036718,0.53075,0.0,0.12193690543459357,0.0,0.12193690543459357
6.555,26.55841458910053,0.53175,7.426754773985656e-06,0.12017608372089306,2.7423228895616567e-05,0.12017608372089306
62.0,-45.18293753993963,0.5379999999999999,7.426754773985656e-06,0.10917094801026395,2.7423228895616567e-05,0.10917094801026395
-41.445,173.25269541479105,0.5433333333333333,0.002450695764198355,0.09977989887052685,0.009049173285017805,0.09977989887052685
66.555,125.36539341858624,0.5470833333333333,0.02047646294772645,0.09317681744414952,0.07560916543993573,0.09317681744414952
-8.555,-52.0,0.5473333333333333,0.020589363680353433,0.09273661201572414,0.07602605043581004,0.09273661201572414
-10.0,124.0,0.5493333333333333,0.013152459416100087,0.08921496858832278,0.04856534463362325,0.08921496858832278
46.0,38.0,0.5494166666666667,0.02047646294772645,0.08906823344551418,0.07560916543993573,0.08906823344551418
39.445,-96.0,0.5557500000000001,0.27081985038419554,0.07791636259207657,0.9999999963075084,0.07791636259207657
78.555,-84.0,0.55875,0.02113395418721238,0.07263389745097482,0.07803694625484058,0.07263389745097482
36.0,138.686457193625,0.5615,0.037937985567368486,0.06779163773829788,0.14008568933725685,0.06779163773829788
51.445,116.0,0.5670000000000001,0.02047646294772645,0.05810711831294402,0.07560916543993573,0.05810711831294402
44.555,24.772035045596123,0.5708333333333332,0.003603566566864521,0.05135730174375841,0.013306138927579432,0.05135730174375841
66.555,-144.0,0.5737500000000001,0.27081985038419554,0.046221571745464374,0.9999999963075084,0.046221571745464374
26.0,103.38211035348948,0.5765000000000001,0.17655739681395888,0.04137931203278744,0.6519366874752756,0.04137931203278744
68.555,136.51749663429717,0.5773333333333334,0.02047646294772645,0.0399119606047037,0.07560916543993573,0.0399119606047037
68.0,156.0,0.5779166666666665,0.02047646294772645,0.038884814605045226,0.07560916543993573,0.038884814605045226
43.445,-70.0,0.5789166666666666,0.0,0.03712399289134438,0.0,0.03712399289134438
66.0,115.36539341858624,0.58275,0.02047646294772645,0.03037417632215844,0.07560916543993573,0.03037417632215844
47.445,-105.1700341752777,0.58575,0.27081985038419554,0.02509171118105613,0.9999999963075084,0.02509171118105613
70.555,97.6237509585064,0.5869166666666666,0.02047646294772645,0.02303741918173896,0.07560916543993573,0.02303741918173896
35.445,128.0,0.5899166666666665,0.0176652335308237,0.017754954040637094,0.06522872470586771,0.017754954040637094
66.555,-123.36539341858624,0.5919166666666668,0.02113395418721238,0.014233310613235295,0.07803694625484058,0.014233310613235295
28.555,119.37102095294767,0.5941666666666667,0.17655739681395888,0.010271461757408673,0.6519366874752756,0.010271461757408673
16.0,120.57773605033898,0.5945,0.004348209651377702,0.009684521186175132,0.01605572718969247,0.009684521186175132
50.0,129.1360201609605,0.5946666666666668,0.02047646294772645,0.009391050900558362,0.07560916543993573,0.009391050900558362
